,icao24,typecode
956,0d0633,A320
957,0d0641,A320
958,0d0644,A320
959,0d0648,E190
960,0d0649,A320
961,0d064b,A320
962,0d0657,E190
963,0d0682,A320
964,0d0683,A320
965,0d0689,E190
966,0d06a7,E190
967,0d06c1,E190
968,0d06d3,E190
969,0d06de,E190
970,0d06e5,E190
971,0d06f4,A320
972,0d06f6,E190
973,0d06fd,E190
974,0d0703,E190
975,0d0707,B738
976,0d070a,A320
977,0d0710,B738
978,0d071b,B738
979,0d072b,A320
980,0d072f,A320
981,0d075f,B738
982,0d0760,B738
983,0d0771,B738
984,0d0775,A320
985,0d0776,A320
986,0d07a8,A320
987,0d07b3,A320
988,0d07b9,A320
989,0d07ba,A320
990,0d07bc,E190
991,0d07e3,A320
992,0d07f0,B738
993,0d07f6,A320
994,0d07f7,A320
995,0d07fe,A320
996,0d0804,B738
997,0d0805,B738
998,0d0806,B738
999,0d080e,E190
1000,0d080f,E190
1001,0d0810,E190
1002,0d0812,A320
1003,0d081c,A320
1004,0d083b,E190
1005,0d083e,E190
1006,0d083f,E190
1007,0d0848,E190
1008,0d085f,A320
1009,0d0866,A320
1010,0d0867,A320
1011,0d087c,E190
1012,0d0890,E190
1013,0d08a5,B738
1014,0d08b1,E190
1015,0d08b3,B738
1016,0d08c7,A320
1017,0d08e6,A320
1018,0d08ee,B738
1019,0d08ef,B738
1020,0d08f3,A320
1021,0d08fd,A320
1022,0d0924,A320
1023,0d0932,A320
1024,0d0934,A320
1025,0d0939,A320
1026,0d0947,A320
1027,0d094c,A320
1028,0d0963,A320
1029,0d0971,B738
1030,0d0984,A320
1031,0d0986,A320
1032,0d0987,A320
1033,0d0993,A320
1034,0d0997,A320
1035,0d099a,A320
1036,0d099d,A320
1037,0d099e,A320
1038,0d09a3,A320
1039,0d09a5,E190
1040,0d09a9,B738
1041,0d09b1,A320
1042,0d09b9,E190
1043,0d09bd,A320
1044,0d09bf,A320
1045,0d09c2,A320
1046,0d09c7,A320
1047,0d09ce,A320
1048,0d09dc,A320
1049,0d09e7,B738
1050,0d09f3,A320
1051,0d09f6,E190
1052,0d09f8,A320
1053,0d09fb,E190
1054,0d0a08,A320
1055,0d0a0f,E190
1056,0d0a13,B738
1057,0d0a1a,E190
1058,0d0a26,A320
1059,0d0a2c,E190
1060,0d0a3a,E190
1061,0d0a3b,B738
1062,0d0a4c,E190
1063,0d0a62,E190
1064,0d0a77,A320
1065,0d0a78,B738
1066,0d0a7a,E190
1067,0d0a84,A320
1068,0d0a85,A320
1069,0d0a8d,B738
1070,0d0a8e,B738
1071,0d0a92,E190
1072,0d0aa0,E190
1073,0d0aab,A320
1074,0d0aba,E190
1075,0d0ac1,E190
1076,0d0ac8,A320
1077,0d0aca,A320
1078,0d0acf,E190
1079,0d0ae8,E190
1080,0d0b0f,E190
1081,0d0b66,B738
1082,0d0b67,B738
1083,0d0b76,B737
1084,0d0b77,B737
1085,0d0c2c,B738
1086,0d0c8f,B738
1087,0d0cdd,A320
1088,0d0cec,A320
1089,0d0d6f,B738
1090,0d0d72,B738
1091,0d0d83,B738
1092,0d0d91,B738
1093,0d0da5,B738
1094,0d0de3,A320
1095,0d0e16,A320
1096,0d0e68,A320
1097,0d0e97,A320
1098,0d0e9b,A320
1099,0d0f5f,A320
1100,0d0ff8,A320
1101,0d0ffd,A320
1102,0d103f,A320
1103,0d8196,E190
1104,0d8197,E190
1105,0d8198,E190
1106,0d81ad,E190
1107,0d81ae,E190
1108,0d81af,E190
1109,0d81bd,E190
1110,0d81be,E190
1111,0d81c0,E190
1112,0d81c1,E190
1113,0d81c7,E190
1114,0d81c8,E190
1115,0d81c9,E190
1116,0d81ec,E190
1117,0d8205,E190
1118,0d8210,E190
1119,0d844d,B737
1120,140ab3,E190
1121,140ab4,E190
1122,140ab5,E190
1123,140ab6,E190
1124,140ab7,E190
1125,140ab8,E190
1126,1514ef,B738
1127,151d28,B737
1128,151d2c,B737
1129,151d7b,B738
1130,151d7c,B738
1131,151d7d,B738
1132,151d7e,B738
1133,151d7f,B738
1134,151d80,B738
1135,151d81,B738
1136,151d82,B738
1137,151d83,B738
1138,151d85,B738
1139,151d86,B738
1140,151d87,B738
1141,151d88,B738
1142,151d89,B738
1143,151d8a,B738
1144,151d8b,B738
1145,151d8c,B738
1146,151d8d,B738
1147,151d8e,B738
1148,151d8f,B738
1149,151d90,B738
1150,151d91,B738
1151,151d92,B738
1152,151d93,B738
1153,151d94,B738
1154,151d95,B738
1155,151d96,B738
1156,151d97,B738
1157,151d98,B738
1158,151d99,B738
1159,151d9a,B738
1160,151d9b,B738
1161,151d9c,B738
1162,151d9d,B738
1163,151d9e,B738
1164,151d9f,B738
1165,151da0,B738
1166,151da1,B738
1167,151da2,B738
1168,151da3,B738
1169,151da4,B738
1170,151da5,B738
1171,151da6,B738
1172,151da7,B738
1173,151da8,B738
1174,151da9,B738
1175,151daa,B77W
1176,151dab,B77W
1177,151dac,B77W
1178,151dad,B77W
1179,151dae,B77W
1180,151db0,B77W
1181,151db1,B77W
1182,151db2,B77W
1183,151db3,B77W
1184,151db4,B77W
1185,151db5,B77W
1186,151db6,B77W
1187,151db7,B77W
1188,151db8,B77W
1189,151db9,B77W
1190,151dba,B77W
1191,151dbb,B77W
1192,151dbc,A320
1193,151dbd,B77W
1194,151dbe,B77W
1195,151dc7,A333
1196,151dcf,A320
1197,151dd0,A320
1198,151dd2,A320
1199,151dd3,A320
1200,151dd4,A320
1201,151dd5,A320
1202,151dd6,A320
1203,151dd7,A320
1204,151dd8,A320
1205,151ddb,A320
1206,151ddc,A320
1207,151ddd,A320
1208,151dde,B738
1209,151ddf,A320
1210,151de0,B738
1211,151de1,B738
1212,151de3,B738
1213,151de4,B738
1214,151de5,B738
1215,151de6,B738
1216,151de7,B738
1217,151de8,B738
1218,151de9,B738
1219,151dea,A320
1220,151deb,A320
1221,151dec,E190
1222,151ded,A320
1223,151df7,A320
1224,151df8,B738
1225,151df9,B738
1226,151dfb,B738
1227,151dfd,A320
1228,151dfe,A320
1229,151e01,A320
1230,151e02,B738
1231,151e07,B738
1232,151e08,B738
1233,151e09,B738
1234,151e0a,B738
1235,151e0b,B738
1236,151e0c,B738
1237,151e0d,B738
1238,151e0e,B738
1239,151e0f,B738
1240,151e10,B738
1241,151e11,B738
1242,151e12,B738
1243,151e13,B738
1244,151e14,B738
1245,151e15,B738
1246,151e16,B738
1247,151e17,B738
1248,151e18,B738
1249,151e19,B738
1250,151e1a,B738
1251,151e1b,B738
1252,151e1c,B738
1253,151e1d,B738
1254,151e1e,B738
1255,151e1f,B738
1256,151e20,B738
1257,151e21,B738
1258,151e22,B738
